x,result,table,_start,_stop,time,value,_field,_measurement
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:36:28Z,0.8575,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:37:28Z,3.4038,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:38:28Z,3.1939,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:39:28Z,3.1611,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:40:28Z,0.7503,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:41:28Z,2.8435,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:42:28Z,3.0373,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:43:28Z,3.5915,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:44:28Z,0.8499,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:45:28Z,0.7834,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:46:28Z,3.0599,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:47:28Z,4.0787,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:48:28Z,1.5172,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:49:28Z,1.576,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:50:28Z,4.4854,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:51:28Z,4.6385,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:52:28Z,2.0255,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:53:28Z,0.6264,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:54:28Z,3.6487,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:55:28Z,3.1365,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:56:28Z,1.0553,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:57:28Z,0.6544,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:58:28Z,3.5176,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T22:59:28Z,3.0567,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:00:28Z,0.5955,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:01:28Z,0.6508,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:02:28Z,4.7339,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:03:28Z,5.6101,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:04:28Z,2.5277,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:05:28Z,4.3896,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:06:28Z,5.7869,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:07:28Z,4.8267,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:08:28Z,2.8245,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:09:28Z,2.3906,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:10:28Z,4.4177,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:11:28Z,5.353,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:12:28Z,4.202,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:13:28Z,2.427,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:14:28Z,4.9296,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:15:28Z,6.2321,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:16:28Z,5.6586,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:17:28Z,3.0761,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:18:28Z,6.6268,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:19:28Z,5.6737,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:20:28Z,6.8469,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:21:28Z,2.7147,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:22:28Z,5.5546,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:23:28Z,4.683,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:24:28Z,4.6316,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:25:28Z,2.3424,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:26:28Z,6.7075,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:27:28Z,4.9902,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:28:28Z,4.4458,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:29:28Z,2.2068,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:30:28Z,3.9641,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:31:28Z,4.3804,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:32:28Z,5.1263,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:33:28Z,2.4504,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:34:28Z,2.4737,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:35:28Z,4.5816,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:36:28Z,4.5548,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:37:28Z,2.3804,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:38:28Z,2.7571,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:39:28Z,4.8075,value,power.pv
,,0,2025-05-21T20:31:59.509546222Z,2025-06-20T20:31:59.509546222Z,2025-06-07T23:40:28Z,4.6589,value,power.pv
